id,age,income,spending_score,savings,loan_amount,default
262,20,128439,57,464059,471884,0
263,37,138687,26,243438,45764,0
264,53,58216,25,281655,466269,1
265,36,113230,69,407889,359120,0
266,43,28847,32,5386,664146,0
267,20,108212,8,291605,752113,0
268,36,61309,9,44700,22422,0
269,37,34658,54,424024,230740,0
270,49,108928,92,325206,131158,1
271,24,146878,20,268983,265581,0
272,69,37527,68,424393,418184,0
273,58,49676,67,257886,560188,1
274,50,36781,44,156646,332692,0
275,57,20645,41,14765,524027,1
276,56,117476,42,317143,224096,1
277,35,98236,11,133400,16537,1
278,57,43990,93,267759,388691,0
279,18,106052,43,87557,208030,0
280,28,38618,86,310572,679333,1
281,45,81859,8,481881,323381,1
282,42,96500,46,84246,421951,1
283,67,78827,34,463185,112538,1
284,40,117389,95,429814,567546,0
285,48,145114,68,55840,133802,1
286,47,116726,15,310346,112458,1
287,59,148077,18,42169,510911,1
288,52,144863,11,202499,729640,1
289,24,21962,91,499817,663088,1
290,33,148373,19,456477,124372,0
291,43,135497,73,177691,389689,1
292,65,59241,25,277890,62888,1
293,69,146076,22,364078,273499,0
294,66,60251,87,92157,722999,0
295,19,82397,62,427283,197650,0
296,18,89951,37,132187,141080,0
297,65,75770,10,495460,180778,1
298,29,134152,81,75183,455229,0
299,22,51545,52,180809,77765,1
300,54,28705,77,172030,385298,1
301,49,143213,68,4975,753974,1
302,26,115302,96,58030,370514,0
303,58,30704,28,280851,278907,1
304,52,52119,30,474851,479577,0
305,36,48671,46,129975,182286,1
306,65,41203,40,475916,52242,0
307,33,101927,21,3409,754442,1
308,20,140503,15,201200,3046,1
309,37,112115,3,58711,466954,0
310,41,32451,81,276765,173797,1
311,50,44516,79,394895,398271,0
312,41,131372,97,368571,485098,0
313,69,140102,69,277386,419133,1
314,28,116613,8,183164,144735,1
315,66,95856,9,75878,462663,0
316,25,149797,90,224795,726257,0
317,53,78642,2,175553,122113,0
318,55,65976,37,276978,74724,0
319,57,39330,12,80206,570,1
320,37,107656,19,272672,568256,1
321,52,54612,27,126490,676718,0
322,65,138299,24,144277,145500,1
323,42,133561,66,148509,659022,0
324,52,51790,16,266323,171571,0
325,42,125863,2,463703,456988,0
326,46,149848,21,134706,87088,0
327,35,142872,10,366960,416416,0
328,63,107606,58,426233,412123,0
329,35,39449,17,135717,493172,1
330,19,94830,76,62054,699917,0
331,52,52256,7,132013,685088,1
332,33,118983,73,38231,478230,1
333,58,27190,46,389951,256315,1
334,53,123651,50,301120,425170,1
335,50,65493,10,46542,732421,1
336,21,31561,16,222607,148250,0
337,50,40431,1,355076,233099,1
338,31,49617,9,223620,356954,1
339,38,33571,13,114453,348458,1
340,65,129319,61,465976,370230,0
341,37,116931,48,36466,246060,0
342,25,20009,16,498122,624704,0
343,24,134291,98,301984,378461,0
344,20,130749,41,17230,745468,1
345,34,100739,30,223378,190215,0
346,50,63791,77,315966,641673,0
347,65,148157,72,482279,61872,1
348,29,141151,55,347369,756799,0
349,68,146827,11,279726,570716,1
350,39,90857,52,172250,431368,0
351,39,73368,95,3090,181484,0
352,63,95914,75,33142,526163,1
353,47,143553,48,41000,268910,1
354,55,68847,7,219847,182488,0
355,55,142422,54,87514,160852,0
356,62,93042,1,103258,480872,0
357,68,95755,87,322852,493772,0
358,25,115491,32,225644,678796,0
359,44,54224,62,461450,777292,1
360,44,118347,15,94154,71691,1
361,51,60094,82,492663,419215,0
362,38,147791,92,84269,333646,0
363,47,82818,61,335680,62292,0
364,50,114305,78,248881,540324,1
365,45,146489,77,483820,639227,1
366,64,30086,56,102651,183645,0
367,50,113893,34,342386,698787,1
368,22,60544,20,485891,256848,1
369,65,112398,24,440768,373494,1
370,36,139258,28,322999,218023,0
371,21,38955,11,352751,583230,1
372,52,67660,92,178147,201082,1
373,66,144295,86,160582,65581,0
374,34,93736,30,471593,571419,1
375,61,91168,38,35297,106299,0
376,45,99236,81,326117,728947,1
377,47,54630,86,486728,476094,1
378,46,70385,1,188668,190920,1
379,63,105045,84,296710,230944,1
380,23,24711,69,471206,270730,0
381,52,50871,33,319295,647036,1
382,58,22457,65,277414,174563,0
383,54,142889,44,299259,549527,0
384,41,96732,64,75535,55667,0
385,46,98375,9,177848,691896,1
386,66,59467,32,255,398709,1
387,63,33167,54,237174,69279,1
388,48,93995,26,257553,792769,1
389,52,27157,62,189510,631399,1
390,50,130357,42,347005,520766,1
391,69,22714,48,364729,582356,1
392,38,106466,6,492440,325194,0
393,49,47217,30,56094,335532,0
394,40,60132,23,269807,488282,0
395,50,116653,89,425814,133843,1
396,20,100792,25,146160,390926,0
397,35,76371,13,176982,31678,1
398,42,130302,25,165099,518703,0
399,59,76788,17,428193,643450,1
400,48,29583,27,201608,721284,1
401,20,109461,11,327954,157135,0
402,57,62042,6,402935,382073,0
403,63,110405,79,345824,60995,0
404,41,97807,37,201887,426526,0
405,67,88371,96,265227,768423,0
406,49,28013,88,306381,705213,0
407,64,142643,75,16716,463683,0
408,39,98775,93,474878,384104,1
409,40,49540,72,330313,213956,1
410,19,56973,37,128885,306739,1
411,44,132157,74,423136,194525,1
412,59,87690,59,453494,729201,0
413,19,107028,10,405915,557295,1
414,43,128840,1,339796,516931,1
415,34,89459,52,136340,270790,1
416,57,51558,87,338652,55448,0
417,50,128350,18,308136,425165,1
418,26,108004,87,57119,558139,1
419,60,60030,5,242446,402599,1
420,65,56636,95,65903,481244,1
421,56,89326,84,416597,22051,1
422,46,129528,93,159704,82106,0
423,59,110956,48,51115,14249,0
424,43,79051,33,97745,364770,0
425,52,117751,57,55715,303057,0
426,67,83566,96,144718,565820,1
427,42,71159,25,1935,558977,0
428,41,86809,44,148876,710813,1
429,30,76025,91,484722,384503,1
430,24,147314,87,450009,797951,1
431,53,46680,66,436011,499341,1
432,62,129463,68,347145,453363,0
433,37,32434,25,380546,392090,1
434,18,82185,45,116396,133476,1
435,25,66096,23,492779,33211,1
436,63,67471,41,437705,787748,0
437,33,76004,87,253631,297316,0
438,31,94940,33,453529,205408,0
439,29,60579,28,284880,129870,1
440,68,30487,8,419460,655817,0
441,40,95925,97,394805,580995,0
442,32,114921,29,273891,595036,0
443,45,80628,56,426604,214687,1
444,51,120568,15,399981,212909,0
445,19,68133,15,241743,67973,0
446,49,116925,37,255032,223085,0
447,40,133500,19,122837,166424,1
448,39,103530,59,241474,461376,1
449,68,29610,51,105981,502082,1
450,42,103706,85,209222,496120,1
451,39,73551,35,499284,684490,0
452,39,33869,90,477615,182788,0
453,66,105402,92,375896,291717,0
454,69,108466,86,441338,136331,0
455,59,95605,36,315812,563140,0
456,23,129403,53,18502,540800,0
457,32,68954,80,475285,29960,1
458,60,94107,12,470537,395322,1
459,54,42979,28,249965,108675,0
460,50,31492,71,62546,632073,1
461,25,135381,33,460393,447668,1
462,61,80920,88,164047,304014,1
463,61,115826,75,297142,769894,0
464,22,132784,79,444735,248739,0
465,56,114257,83,441155,728018,1
466,21,144327,55,470149,200510,0
467,23,117379,79,338949,740970,0
468,62,96118,73,297906,404078,1
469,49,43409,77,422929,654056,1
470,69,136443,50,338210,648757,1
471,47,85162,29,213543,647029,1
472,64,92569,58,216176,667911,0
473,52,44077,26,480666,648301,1
474,57,80428,23,257794,780404,0
475,69,46455,17,258693,108576,0
476,33,47385,5,436252,300447,0
477,30,20847,59,465644,207608,0
478,67,96699,16,255195,365891,0
479,59,73213,94,383195,99418,0
480,47,135883,21,182454,367083,1
481,36,29704,5,186043,653265,1
482,34,64862,58,423483,90459,1
483,36,140166,26,485459,191608,0
484,45,51849,43,297359,349483,0
485,43,91868,94,38807,202375,1
486,54,142842,59,478412,539115,1
487,43,25648,86,51871,29752,0
488,40,51793,58,356266,662282,1
489,26,105240,2,148039,242938,0
490,29,104377,44,128573,708053,0
491,18,113574,76,370979,226352,1
492,18,23450,91,461043,763581,0
493,64,28418,26,209674,352916,1
494,51,68718,44,363373,167290,1
495,49,54575,89,395636,401445,0
496,65,130804,19,453106,512338,1
497,42,117260,49,39452,514088,1
498,57,134009,91,261557,315709,1
499,62,53186,81,477084,589253,1
500,18,134426,57,175288,765563,0
501,33,46451,6,38049,271438,1
502,56,23155,23,448402,450455,0
503,22,29110,82,267599,173419,1
504,39,109284,43,322217,650992,1
505,46,49448,44,476702,119840,1
506,20,146934,66,30698,418392,1
507,29,148529,45,100720,672841,1
508,43,149244,19,79514,718092,0
509,33,118122,4,442746,356287,0
510,68,105738,97,211762,609664,0
511,54,65231,98,484016,338121,0
512,39,55399,96,213078,368481,0
513,46,40058,57,77422,170361,1
514,31,144225,82,91611,660648,0
515,45,90166,9,334949,34767,0
516,22,92404,48,23881,616006,1
517,64,123817,36,239321,178366,1
518,66,120133,67,103870,43046,0
519,47,95391,18,403030,305155,0
520,63,68698,40,348262,744901,0
521,69,65379,89,46673,491485,0
522,22,110196,66,171508,530227,1
523,29,117275,65,189880,676323,1
524,33,23812,88,112239,477732,1
525,43,37270,24,327434,673736,1
526,43,43978,53,246311,742823,1
527,65,31531,42,147239,721678,0
528,38,48783,53,321420,549858,1
529,56,80019,62,140184,207449,0
530,53,33236,62,377862,266610,1
531,50,137485,68,439295,52075,1
532,47,50093,35,345706,344578,1
533,54,89683,99,473093,560667,0
534,40,38515,57,447016,233534,0
535,27,113806,61,67295,383793,0
536,22,22759,12,431060,166990,1
537,53,129274,49,356252,784754,0
538,51,45316,87,442226,128516,0
539,69,88412,22,125144,203385,1
540,48,65480,90,249417,60534,1
541,27,33332,68,215570,379459,0
542,36,95439,71,252739,203884,1
543,49,69207,23,139579,757465,1
544,18,121666,95,452828,480598,1
545,22,63819,7,38753,598976,0
546,62,78150,22,282500,275910,1
547,21,137744,40,220741,560561,0
548,33,73902,19,398053,116018,0
549,41,29198,53,460898,635414,1
550,33,123307,30,342958,673153,1
551,19,35732,26,495514,474443,0
552,66,126209,41,16040,665135,0
553,45,106023,22,464000,43617,0
554,49,75419,61,447567,761904,1
555,44,21781,73,151640,301418,1
556,37,98948,46,336935,148234,0
557,41,70141,58,173315,670790,0
558,29,117090,29,143267,477024,0
559,67,81277,96,293556,319388,1
560,52,129660,53,1930,641525,1
561,50,76704,18,191289,73625,0
562,50,51485,31,461585,282278,0
563,68,74351,32,484470,793580,1
564,60,138057,9,315633,239860,1
565,54,46654,94,426262,231393,1
566,29,53145,37,314731,731524,1
567,20,71529,96,14916,50791,0
568,18,124349,8,219366,775600,0
569,50,66378,24,483438,461822,1
570,57,36665,68,432208,296469,0
571,27,82475,52,219048,651765,1
572,60,98462,46,454156,26734,0
573,61,104839,17,327235,673753,0
574,46,67802,21,429753,770006,1
575,30,97892,48,329194,794946,1
576,29,59752,9,287453,278721,1
577,48,56362,69,10157,759605,0
578,63,70990,5,337806,385689,0
579,19,67126,94,483911,329290,1
580,68,98160,6,270661,136676,0
581,67,59338,72,488643,363283,1
582,52,113004,48,300249,793073,1
583,40,116464,46,76535,556386,1
584,34,110326,97,320344,566990,1
585,43,41114,79,97556,721124,0
586,25,114630,73,375580,537602,1
587,46,22120,63,431561,703726,1
588,43,130289,3,405943,188257,0
589,27,121174,31,175187,69512,0
590,43,20785,7,242345,658607,1
591,51,76925,16,345171,610551,0
592,68,86473,92,354648,664344,0
593,58,148747,99,269702,23476,0
594,24,128185,15,379524,243435,0
595,21,49969,7,352518,16946,0
596,67,85236,99,18990,682535,1
597,62,113823,95,210909,511454,1
598,28,127752,38,165531,638188,0
599,46,121416,8,469456,618938,0
600,53,36297,56,23834,687216,1
601,42,42816,80,175569,278403,1
602,38,141386,98,199763,8497,0
603,53,125741,1,149889,573632,1
604,27,90070,19,483564,133849,0
605,54,29529,78,322197,739663,0
606,26,42013,19,184849,11507,0
607,41,50089,87,419143,653631,1
608,52,26171,4,487306,407694,0
609,66,61229,64,245270,618270,1
610,52,37874,98,334622,362081,1
611,65,58809,2,52606,414636,1
612,53,79465,76,365204,763425,0
613,35,79024,23,290234,336571,0
614,66,41153,56,61931,534792,1
615,56,124693,82,234544,394389,0
616,49,48429,96,491642,64122,0
617,41,77753,51,447319,447638,0
618,40,26641,81,7523,293782,0
619,49,62401,31,179059,558757,1
620,54,109075,58,431651,24409,1
621,29,145138,36,482384,587731,0
622,66,45367,90,374185,120985,0
623,30,41726,12,139193,702473,1
624,40,135047,35,282735,339866,1
625,42,24677,80,246113,72840,1
626,52,25139,4,356749,750759,1
627,58,77766,28,262320,306643,0
628,47,44696,33,85108,301742,0
629,34,71372,74,2968,13980,1
630,66,106049,31,395463,378704,0
631,37,96693,78,19015,513918,1
632,65,77414,5,71341,775631,0
633,42,32832,10,489572,176023,1
634,39,133413,25,217555,553822,0
635,30,149807,41,76073,133659,1
636,36,131559,17,291196,3249,1
637,66,121996,61,11345,5280,0
638,53,139318,84,134079,509922,0
639,29,146609,60,426528,41596,1
640,58,93741,33,465446,657265,1
641,36,25425,9,207749,406517,0
642,29,23900,50,305542,45842,1
643,26,97347,31,92462,505612,0
644,24,93998,5,425065,770000,1
645,45,140580,46,440237,126810,0
646,31,146004,93,150082,634122,1
647,48,123917,4,498996,607287,0
648,69,144463,31,292258,568068,0
649,36,49134,4,357480,212547,0
650,64,102442,18,379358,355185,0
651,33,22817,82,407358,447105,0
652,22,90486,34,105447,593286,0
653,52,55607,48,140198,139801,0
654,29,132637,63,123765,794928,1
655,42,109809,14,455309,437179,0
656,69,93027,90,98275,529930,1
657,38,93550,87,90899,395733,0
658,53,27691,33,328593,710519,0
659,40,85978,81,200539,756947,0
660,33,42778,42,495738,16795,0
661,56,77154,32,376430,762376,1
662,62,116415,99,387877,91314,0
663,59,112195,43,466597,277953,0
664,56,68788,57,97785,63183,1
665,31,113039,94,226401,235382,1
666,48,29413,15,402582,307470,1
667,22,134113,50,165564,741817,0
668,52,97177,71,470303,414859,0
669,40,63400,63,61518,406520,1
670,46,49899,70,62835,294598,0
671,60,132683,9,162524,577130,1
672,28,112474,13,295397,86450,0
673,35,65463,18,397194,180611,1
674,64,20894,35,487023,100123,1
675,29,130398,1,25295,730736,0
676,26,55021,88,63355,713801,0
677,27,115472,36,400939,616764,1
678,61,116296,80,140517,599598,0
679,34,149611,82,380710,193255,0
680,55,120314,67,385579,148240,1
681,24,108777,46,57714,230706,1
682,63,66442,37,26078,704537,0
683,30,139681,72,265796,427609,0
684,57,114302,82,285044,283495,1
685,59,106555,29,58883,532230,0
686,26,47791,91,449017,58589,0
687,67,149082,44,279001,509815,0
688,44,109728,93,279405,261484,1
689,19,125301,68,267387,37719,0
690,22,114716,76,321481,504834,0
691,46,63520,77,149210,414299,1
692,54,129342,14,149766,741536,0
693,55,127541,78,326340,696622,1
694,36,123137,51,398690,90852,0
695,25,49899,74,25139,297861,1
696,65,67802,86,17569,344370,0
697,62,121238,9,142619,420395,0
698,18,143350,88,3554,621185,1
699,39,98107,81,427524,667808,1
700,69,20371,88,11406,268473,0
701,34,50193,69,241056,248963,0
702,24,80747,34,106459,211374,1
703,42,100922,65,383535,581596,1
704,62,125302,27,469019,655043,1
705,21,34464,40,34643,331748,1
706,53,103323,8,27675,548861,0
707,23,106522,6,355700,709856,1
708,48,138634,53,246350,702958,1
709,36,69025,5,312020,611138,0
710,61,114187,54,452983,753487,0
711,56,131710,18,256930,449627,1
712,44,106593,71,151871,498249,1
713,27,49872,36,235112,501555,1
714,43,96248,97,324035,249971,1
715,36,84997,54,331802,688144,1
716,56,102927,34,287660,227028,0
717,20,113458,32,293897,564415,0
718,62,20667,51,162061,587191,0
719,30,36325,3,311982,266450,1
720,67,86982,65,178764,304860,1
721,45,35890,85,461492,528171,0
722,37,138654,13,62273,10240,0
723,45,46483,8,203185,703049,0
724,25,112479,44,121130,672056,0
725,58,112217,30,25512,674582,0
726,56,122672,8,144168,418382,0
727,18,58085,58,312622,255911,1
728,20,141934,91,167980,376640,1
729,30,121333,87,37873,76147,0
730,45,61000,8,459868,222829,1
731,66,33025,61,92224,229797,0
732,42,140580,79,488976,629907,0
733,50,49940,53,28843,445810,1
734,55,141878,71,31800,483762,1
735,23,139492,76,69117,245075,0
736,61,108299,36,8155,304278,0
737,62,44701,94,418548,307550,1
738,49,102697,74,301266,91866,0
739,62,61795,62,76576,333925,0
740,64,149163,19,384574,508717,1
741,38,110990,18,107971,652707,1
742,33,122793,44,39162,530987,0
743,38,33115,20,13810,351971,0
744,28,59038,2,185524,20786,1
745,54,76433,30,459673,537459,1
746,53,66999,51,162135,692639,0
747,52,94564,44,8518,147569,0
748,36,61484,47,201642,591450,0
749,37,127747,43,326324,158413,1
750,35,27688,11,472153,777123,0
751,64,122545,86,295631,574666,1
752,58,142018,42,439309,616688,1
753,66,127230,19,18354,12262,1
754,31,43255,3,23932,582500,0
755,32,99747,4,222116,84361,0
756,48,102088,99,111819,31818,1
757,18,66617,38,496940,571621,0
758,20,62108,73,473466,257079,1
759,33,61259,72,295818,565481,0
760,40,97049,34,193856,338554,0
761,28,90569,51,473506,288209,0
762,29,86057,31,469407,781926,0
763,27,116360,83,432817,125133,1
764,49,143497,37,268832,244125,0
765,33,98792,96,437572,742112,0
766,25,130080,44,262977,518857,0
767,55,46293,59,210720,542964,0
768,29,50607,92,36601,44190,0
769,41,32793,18,64919,646331,0
770,45,110413,25,47847,368396,0
771,25,127148,10,197772,796214,1
772,45,56069,69,357344,563070,1
773,53,106079,79,168710,367714,0
774,43,47213,25,40994,704160,1
775,25,38663,84,18706,147927,1
776,67,62582,51,217697,640086,0
777,45,84694,53,334745,556925,1
778,45,114526,10,125893,647579,0
779,54,54449,49,63028,290504,1
780,58,33116,38,276661,672452,0
781,53,118395,92,100057,789476,1
782,44,23706,46,464482,557251,1
783,34,36147,70,487318,684003,0
784,26,119264,11,90302,643311,1
785,50,40543,83,276186,471553,1
786,37,119147,16,304393,435468,1
787,30,134906,32,436003,470487,1
788,45,28895,2,68573,450089,0
789,65,82058,58,399841,727953,0
790,46,42412,90,419827,708306,0
791,30,53014,85,273312,269096,1
792,63,33251,38,82376,178188,0
793,52,148472,79,391610,636617,0
794,23,130533,57,458048,121965,0
795,35,25109,77,311934,235971,0
796,68,44632,71,149152,131263,0
797,22,115276,59,478070,424234,0
798,64,32151,57,458822,356650,0
799,42,66165,67,174024,777165,0
800,19,75276,15,45244,426370,1
801,27,115269,84,114676,566270,0
802,47,26325,58,19343,599096,1
803,67,108227,3,203485,151534,1
804,62,114964,58,137425,117602,0
805,22,95586,27,331967,551225,1
806,50,21912,15,344251,41207,0
807,18,56989,60,259031,209335,1
808,35,27374,3,285810,310618,1
809,49,53034,28,151053,413559,1
810,64,132993,47,225709,510016,0
811,66,105402,65,329692,664010,0
812,28,66678,53,364452,239028,0
813,38,111792,20,471525,680555,1
814,43,113305,11,429266,114473,0
815,42,70683,25,2949,274786,1
816,39,30198,63,314948,35928,0
817,44,114817,4,76042,93270,0
818,66,90100,83,176326,498435,1
819,30,147776,54,175241,745584,1
820,50,56996,60,331623,514666,1
821,51,80794,28,472053,292709,1
